case,region,metric,source_mlp,update500,update1000
natural,geometry_focus_proxy,xyz_mm,36.373531607741654,54.1096331147657,54.55240059807436
natural,geometry_focus_proxy,depth_mm,14.734556266920489,17.525237982396376,15.92340353016896
natural,normal_proxy,angle_deg,89.0978611208339,84.0984173243449,80.82910268488011
natural,spatial_cad_proxy,retrieval_top1,0.3956912752325689,0.41567092234138314,0.4088361754460235
light,geometry_focus_real,xyz_mm,31.896151766436443,57.600427299908226,57.22390202317919
light,geometry_focus_real,depth_mm,8.751990117515836,12.572280694246292,10.25324955880642
light,normal_real,angle_deg,88.71013390677315,89.4871793766411,71.24577052836516
light,geometry_focus_proxy,xyz_mm,40.042889954663124,63.4499110474306,63.304097221679044
light,geometry_focus_proxy,depth_mm,17.29712197134475,20.200711867138118,18.65331773572609
light,normal_proxy,angle_deg,89.44827195576259,75.57028530325208,81.18298399448395
light,spatial_hidden_real,retrieval_top1,0.33650362556395325,0.30570652400669845,0.3088768139157606
light,spatial_cad_proxy,retrieval_top1,0.27800480455958415,0.3015367222417678,0.2793784313169973
heavy_pooled,geometry_focus_real,xyz_mm,37.83146066871725,60.77497929750617,60.56296601464751
heavy_pooled,geometry_focus_real,depth_mm,12.12839876922968,15.929171541346188,13.429843210457216
heavy_pooled,normal_real,angle_deg,88.46255211046007,83.9128487935123,72.07296708867852
heavy_pooled,geometry_focus_proxy,xyz_mm,37.16006013785594,55.24254075170095,55.908476762886984
heavy_pooled,geometry_focus_proxy,depth_mm,18.36481630622704,20.127622833757016,19.7146155984131
heavy_pooled,normal_proxy,angle_deg,88.79022582434078,83.34953128234542,78.82846956189039
heavy_pooled,spatial_hidden_real,retrieval_top1,0.41160283139146214,0.4075627124852464,0.408050315675072
heavy_pooled,spatial_cad_proxy,retrieval_top1,0.32941376787637644,0.3055387663196807,0.3094300747163493
